ID,FY,value
265,2015,21078.59
265,2016,18799
265,2017,20539.9
265,2018,20618.13
265,2019,19540.53
265,2020,21514.96
265,2021,21714.96
265,2022,18230.7
918,2015,8776
918,2016,9858
918,2017,8807
918,2018,8276
918,2019,8295
918,2020,7789
918,2021,6922
918,2022,12326
1742,2015,3422683
1742,2016,3575088
1742,2017,3402621
1742,2018,3202200
1742,2019,3003599
1742,2020,1947377
1742,2021,4227
1742,2022,776001
2528,2015,9497
2528,2016,9876
2528,2017,9295
2528,2018,11063
2528,2019,9315
2528,2020,6746
2528,2021,798
2528,2022,4661
3293,2015,4314854
3293,2016,4476454
3293,2017,4499127
3293,2018,4551394
3293,2019,4554828
3293,2020,4663561
3293,2021,4109446
3293,2022,4287681
3508,2015,11098
3508,2016,9906
3508,2017,8921
3508,2018,8732
3508,2019,8341
3508,2020,7827
3508,2021,7639
3508,2022,7140
3943,2015,103872
3943,2016,105614
3943,2017,98991
3943,2018,95868
3943,2019,93631
3943,2020,94790
3943,2021,95369
3943,2022,119742
4185,2015,94.4
4185,2016,97.5
4185,2017,97.9
4185,2018,96.2
4185,2019,95.3
4185,2020,91.9
4185,2021,95.4
4185,2022,82.3
4327,2015,21911
4327,2016,23067
4327,2017,23920
4327,2018,24497
4327,2019,25223
4327,2020,15865
4327,2021,7561
4327,2022,12119